Position;Url
1;https://entreprendre.service-public.fr/vosdroits/F22574
2;https://www.urssaf.fr/accueil/employeur/cotisations/liste-cotisations/taxe-apprentissage-csa.html
3;https://www.economie.gouv.fr/entreprises/taxe-apprentissage
4;https://www.afi24.org/2025/06/17/entreprises-exonerees-taxe-apprentissage/
5;https://www.compta-online.com/exoneration-de-taxe-apprentissage-en-cas-embauche-apprentis-ao2381
6;https://bpifrance-creation.fr/encyclopedie/fiscalite-lentreprise/autres-impots-taxes/taxe-dapprentissage
7;https://d-conseils.fr/quelles-sont-les-entreprises-exonerees-de-la-taxe-dapprentissage/
8;https://culture-rh.com/taxe-apprentissage-2025/
9;https://www.gustaveroussy.fr/fr/assujettissement-la-taxe-dapprentissage-les-entreprises-concernees
10;https://www.lecoindesentrepreneurs.fr/la-taxe-d-apprentissage/
11;https://www.charente-maritime.cci.fr/actualite/la-taxe-dapprentissage-cest-quoi-ca-sert-quoi
12;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072050/LEGISCTA000006178193/
13;https://boss.gouv.fr/accueil/exonerations/exoneration-contrat-dapprentissa.html
14;https://ae3.org/connaissance/entreprises-non-redevables/quelles-entreprises-ne-sont-par-redevables-de-la-taxe-dapprentissage/
15;https://www.legisocial.fr/reperes-sociaux/taxe-apprentissage-2025.html
16;https://www.soltea.education.gouv.fr/aide/qui-sont-les-employeurs-redevables-du-solde-de-la-taxe-dapprentissage
17;https://www.dougs.fr/blog/taxe-dapprentissage/
18;https://bofip.impots.gouv.fr/bofip/6318-PGP.html/identifiant%3DBOI-TPS-TA-20-20150204
19;https://www.fiche-paie.net/page/la-taxe-d-apprentissage-principes-et-taux-en-vigueur
20;https://www.compta-intouch.com/conseils-comptabilite/conseils-fiscalite/taxe-apprentissage-contribution-supplementaire-a-l-apprentissage
21;https://solutions.lesechos.fr/financement-compta-assurance/impots-taxes/employeur-qui-doit-payer-la-taxe-d-apprentissage-et-pourquoi/
22;https://support.ebp.com/hc/fr/articles/4415429323409-Recouvrement-de-la-Taxe-d-apprentissage-par-l-URSSAF-et-la-MSA-dans-EBP-Paie-Solution-Autonome
23;https://www.gestiondelapaie.com/taxe-dapprentissage-et-csa/
24;https://www.assistant-juridique.fr/taxe_apprentissage_association.jsp
25;https://www.capital.fr/votre-carriere/taxe-dapprentissage-calcul-taux-et-versement-1484116
26;https://www.kelio.com/fr/ressources/blog/1264-tout-savoir-taxe-apprentissage.html
27;https://net-entreprises.custhelp.com/app/answers/detail_dsn/a_id/2504/
28;https://www.alternance-professionnelle.fr/taxe-apprentissage/
29;https://www.probtp.com/files/live/sites/probtp/files/media/pdf/PRO/declarations/notice-taxe-apprentissage.pdf
30;https://www.legalstart.fr/fiches-pratiques/fiscalite-entreprises/taxe-apprentissage/
31;https://www.msa.fr/lfp/documents/11566/17390919/CFPTA-Tableau-recapitulatif.pdf
32;https://www.artisanat974.re/wp-content/uploads/2022/03/TA-Exoneration.pdf
33;https://www.cacomptepourmoi.fr/blog/paie-rh/taxe-dapprentissage-definition/
34;http://documentation.opcoep.fr/informer_priv/popup/pop_al_fin_moins_11_22_03.php
35;https://www.prefectures-regions.gouv.fr/content/download/13372/92492/file/Entreprises%20assujetties%20%C3%A0%20la%20taxe%20d'apprentissage.pdf
36;https://www.youtube.com/watch?v=a2bm7jQrXDU
37;https://culture-rh.com/taxe-apprentissage-2023/
38;https://formapi.fr/taxe-d-apprentissage-2024/
39;https://www.cegedim-business-services.com/ressources-humaines/taxe-apprentissage-calcul-declaration-paiement/
40;https://www.formasup-auvergne.fr/taxe-dapprentissage-2020-quest-ce-qui-a-change-avec-la-reforme/
41;https://payfit.com/fr/fiches-pratiques/taxe-apprentissage/
42;https://www.contratdapprentissage.fr/taxe-d-apprentissage.php
43;https://www.alternance-professionnelle.fr/fonctionnement-taxe-apprentissage/
44;https://blog.eudonet.com/fr/actualites-crm/comment-fonctionne-taxe-apprentissage-france/
45;https://community.silae.fr/dsn-37/taxe-d-apprentissage-exoneration-13317
46;https://www.journaldunet.fr/management/guide-du-management/1201217-taxe-d-apprentissage-2025-taux-calcul/
47;https://www.gustaveroussy.fr/fr/calcul-de-la-taxe-dapprentissage
48;https://jobs.iseeop.com/actualites_de_l_emploi/impacts-reforme-taxe-apprentissage-2025/
49;https://monexpertdudroit.com/fiscalite-entreprise/taxe-apprentissage/
50;https://horizon63.cerfrance.fr/breves/taxe-dapprentissage-exoneration-des-cooperatives-agricoles/
51;https://bofip.impots.gouv.fr/bofip/6317-PGP.html/identifiant%3DBOI-TPS-TA-10-20150204
52;https://www.weblex.fr/articles/taxe-d-apprentissage-declarer-et-payer-votre-taxe
53;https://www.youzful-by-ca.fr/etudier-et-travailler/tout-savoir-sur-la-taxe-dapprentissage
54;https://boss.gouv.fr/portail/accueil/regles-dassujettissement/formationpro-apprentissage.html
55;https://www.l-expert-comptable.com/a/52044-la-taxe-d-apprentissage.html
56;https://www.education.gouv.fr/taxe-d-apprentissage-3659
57;https://www.legifrance.gouv.fr/codes/id/LEGISCTA000028448685
